Film;Year
Wings;1928
The Racket;1928
7th Heaven;1928
The Last Command;1928
The Way of All Flesh;1928
The Patent Leather Kid;1928
The Noose;1928
Street Angel;1928
Sunrise: A Song of Two Humans;1928
A Ship Comes In;1928
Sadie Thompson;1928
Sorrell and Son;1928
The Crowd;1928
Two Arabian Knights;1928
Speedy;1928
The Broadway Melody;1929
Alibi;1929
Hollywood Revue;1929
In Old Arizona;1929
The Patriot;1929
Thunderbolt;1929
The Valiant;1929
Coquette;1929
Madame X;1929
The Barker;1929
The Letter;1929
The Divine Lady;1929
All Quiet on the Western Front;1930
The Big House;1930
Disraeli;1930
The Divorcee;1930
The Love Parade;1930
The Green Goddess;1930
The Big Pond;1930
Bulldog Drummond;1930
Condemned;1930
The Rogue Song;1930
The Devil's Holiday;1930
Sarah and Son;1930
Anna Christie Romance;1930
Their Own Desire;1930
The Trespasser;1930
Cimarron;1931
East Lynne;1931
The Front Page;1931
Skippy;1931
Trader Horn;1931
A Free Soul;1931
The Royal Family of Broadway;1931
Min and Bill;1931
Morocco;1931
Holiday;1931
Grand Hotel;1932
Arrowsmith;1932
Bad Girl;1932
The Champ;1932
Five Star Final;1932
One Hour with You;1932
Shanghai Express;1932
The Smiling Lieutenant;1932
Dr. Jekyll and Mr. Hyde;1932
The Guardsman;1932
The Sin of Madelon Claudet;1932
Emma;1932
Cavalcade ;1933
42nd Street;1933
A Farewell to Arms;1933
I Am a Fugitive from a Chain Gang;1933
Lady for a Day;1933
Little Women;1933
The Private Life of Henry VIII;1933
She Done Him Wrong;1933
Smilin' Through;1933
State Fair;1933
Berkeley Square;1933
Morning Glory;1933
It Happened One Night;1934
The Barretts of Wimpole Street;1934
Cleopatra;1934
Flirtation Walk;1934
The Gay Divorcee;1934
Here Comes the Navy;1934
The House of Rothschild;1934
Imitation of Life;1934
One Night of Love;1934
The Thin Man;1934
Viva Villa!;1934
The White Parade;1934
The Affairs of Cellini;1934
Of Human Bondage;1934
Mutiny on the Bounty;1935
Alice Adams;1935
Broadway Melody of 1936;1935
Captain Blood;1935
David Copperfield;1935
The Informer;1935
The Lives of a Bengal Lancer;1935
A Midsummer Night's Dream;1935
Les Misérables;1935
Naughty Marietta;1935
Ruggles of Red Gap;1935
Black Fury;1935
Top Hat;1935
Dangerous;1935
Escape Me Never;1935
Private Worlds;1935
Becky Sharp;1935
The Dark Angel;1935
The Great Ziegfeld;1936
Anthony Adverse;1936
Dodsworth;1936
Libeled Lady;1936
Mr. Deeds Goes to Town;1936
Romeo and Juliet;1936
San Francisco;1936
The Story of Louis Pasteur;1936
A Tale of Two Cities;1936
Three Smart Girls;1936
My Man Godfrey;1936
Theodora Goes Wild;1936
Valiant Is the Word for Carrie;1936
Come and Get It;1936
Pigskin Parade;1936
The General Died at Dawn;1936
